Scanning 2774 .FAN files in data/e1-dos/

File                                                Ver  NNS Internal Name                 
SCENES/HOTEL2_2.FAN                                  24    - hotel2_2                      
SCENES/HOTEL3_3.FAN                                  24    - hotel3_3                      
SCENES/HOTEL4_4.FAN                                  24    - hotel4_4                      
SCENES/HOTEL5_5.FAN                                  24    - hotel5_5                      
SCENES/HOUSE1.FAN                                     8    - -                             
SCENES/HOVEL1.FAN                                     8    - -                             
SCENES/HOVEL2.FAN                                     8    - -                             
SCENES/HOVEL3.FAN                                    24    - hovel3                        
SCENES/HOVEL4.FAN                                    24    - hovel4                        
SCENES/HOVEL6.FAN                                    24    - hovel6                        
SCENES/INTRO.FAN                                     14    - -                             
SCENES/INTRO1.FAN                                    25    - intro1                        
SCENES/INTRO2.FAN                                     8    - -                             
SCENES/INTRO_H.FAN                                   11    - -                             
SCENES/INTRO_H2.FAN                                   9    - -                             
SCENES/INV.FAN                                       24    - inv                           
SCENES/INVI.FAN                                      24    - invi                          
SCENES/INVISIBL.FAN                                  24    - invisibl                      
SCENES/IN_KNIT.FAN                                   25    - in_knit                       
SCENES/IN_KNIT2.FAN                                  25    - in_knit2                      
SCENES/IN_SARC2.FAN                                  25    - in_sarc2                      
SCENES/IN_SARC3.FAN                                  27    0 in_sarc3                      
SCENES/IN_SARCO.FAN                                  25    - in_sarco                      
SCENES/ISI.FAN                                       24    - isi                           
SCENES/ISIBL.FAN                                     24    - isibl                         
SCENES/JUMP_IN.FAN                                   24    - jump_in                       
SCENES/JUMP_OUT.FAN                                  25    - jump_out                      
SCENES/KING.FAN                                      19    - -                             
SCENES/KING2.FAN                                     24    - king2                         
SCENES/KING3.FAN                                     19    - -                             
SCENES/KING_UP.FAN                                   24    - king_up                       
SCENES/KNGHT_OP.FAN                                  24    - knght_op                      
SCENES/KNIFE.FAN                                      8    - -                             
SCENES/KNIGHT.FAN                                    19    - -                             
SCENES/KNIGHT1.FAN                                   24    - knight1                       
